epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,5756.56,0.66841,0.41287,0.92826,0.96034,0.99344,0.99229,0.84683,0.70248,0.37589,0.92199,0.00068,0.00068,0.00068
82,5807.89,0.69728,0.4233,0.93302,0.96673,0.97436,0.98827,0.8403,0.69315,0.37878,0.92545,0.0006635,0.0006635,0.0006635
83,5860.1,0.6523,0.41237,0.92867,0.9842,0.95855,0.98897,0.82974,0.71791,0.38261,0.93181,0.000647,0.000647,0.000647
84,5912.23,0.67765,0.42318,0.93076,0.98331,0.95897,0.98855,0.85842,0.67957,0.37407,0.91843,0.0006305,0.0006305,0.0006305
85,5964.32,0.66452,0.41532,0.93072,0.97142,0.95897,0.98751,0.83982,0.71762,0.37163,0.93007,0.000614,0.000614,0.000614
86,6023.34,0.65299,0.41758,0.9277,0.95503,0.9801,0.98601,0.84253,0.69088,0.37273,0.91617,0.0005975,0.0005975,0.0005975
87,6077.11,0.66373,0.40879,0.92768,0.97318,0.97436,0.9869,0.8463,0.68432,0.37334,0.91469,0.000581,0.000581,0.000581
88,6128.52,0.64931,0.40024,0.92824,0.95975,0.97818,0.98827,0.85231,0.68118,0.37251,0.91999,0.0005645,0.0005645,0.0005645
89,6185.06,0.67803,0.42831,0.93225,0.98146,0.96923,0.98973,0.83269,0.71701,0.37741,0.92947,0.000548,0.000548,0.000548
90,6247.59,0.64252,0.40549,0.91296,0.97844,0.95385,0.98671,0.8454,0.70376,0.38459,0.92012,0.0005315,0.0005315,0.0005315
91,6297.54,0.62575,0.39599,0.92193,0.97401,0.96098,0.97765,0.83689,0.6848,0.3952,0.91143,0.000515,0.000515,0.000515
92,6351.14,0.63667,0.38891,0.90907,0.98274,0.94359,0.97603,0.81738,0.75366,0.39986,0.94211,0.0004985,0.0004985,0.0004985
93,6410.73,0.62845,0.39102,0.91419,0.97593,0.97436,0.98962,0.84561,0.69393,0.3694,0.91322,0.000482,0.000482,0.000482
94,6460.8,0.63203,0.4029,0.92898,0.96688,0.97436,0.98678,0.84999,0.7005,0.36184,0.91566,0.0004655,0.0004655,0.0004655
95,6517.38,0.63063,0.38934,0.91624,0.97448,0.97918,0.99061,0.84809,0.69441,0.35527,0.92171,0.000449,0.000449,0.000449
96,6569.33,0.64012,0.39793,0.92221,0.96497,0.98891,0.99181,0.85093,0.68671,0.35091,0.9187,0.0004325,0.0004325,0.0004325
97,6629.56,0.64527,0.39446,0.9308,0.98261,0.96923,0.98892,0.84352,0.69768,0.36014,0.92382,0.000416,0.000416,0.000416
98,6688.81,0.63009,0.38974,0.91788,0.98949,0.96594,0.99132,0.84417,0.6985,0.35692,0.92511,0.0003995,0.0003995,0.0003995
99,6739.81,0.61801,0.37496,0.91735,0.9688,0.98462,0.99203,0.84573,0.70055,0.34465,0.91695,0.000383,0.000383,0.000383
100,6794.6,0.58648,0.36714,0.91163,0.95515,0.98286,0.98674,0.84129,0.70838,0.34984,0.91791,0.0003665,0.0003665,0.0003665
101,6852.4,0.60407,0.37173,0.91043,0.98292,0.96923,0.99029,0.84906,0.69319,0.34903,0.91693,0.00035,0.00035,0.00035
102,6901.61,0.61432,0.37444,0.92273,0.97928,0.9697,0.99074,0.85405,0.68243,0.34124,0.91833,0.0003335,0.0003335,0.0003335
103,6955.67,0.58415,0.36708,0.90339,0.96939,0.97457,0.99187,0.85363,0.69133,0.35973,0.91589,0.000317,0.000317,0.000317
104,7010.71,0.6249,0.37233,0.9187,0.98688,0.9641,0.98735,0.85029,0.69699,0.355,0.92817,0.0003005,0.0003005,0.0003005
105,7070.24,0.58874,0.36382,0.90618,0.98673,0.9641,0.98608,0.85225,0.68869,0.34915,0.91882,0.000284,0.000284,0.000284
106,7119.5,0.59502,0.35865,0.91292,0.98942,0.94872,0.98645,0.85136,0.69498,0.3502,0.91871,0.0002675,0.0002675,0.0002675
107,7175.57,0.60117,0.3661,0.91147,0.98956,0.97171,0.98728,0.84816,0.70296,0.33976,0.92512,0.000251,0.000251,0.000251
108,7228.06,0.57952,0.35497,0.90132,0.98862,0.9641,0.98657,0.85797,0.68411,0.33908,0.916,0.0002345,0.0002345,0.0002345
109,7279.69,0.58511,0.35073,0.90531,0.98942,0.95906,0.98942,0.85461,0.68843,0.33937,0.91563,0.000218,0.000218,0.000218
110,7351.67,0.60306,0.37221,0.91046,0.98173,0.96923,0.98676,0.85369,0.68274,0.34201,0.91194,0.0002015,0.0002015,0.0002015
111,7451.68,0.57192,0.33062,0.88069,0.98026,0.96923,0.98553,0.84629,0.69426,0.33798,0.91657,0.000185,0.000185,0.000185
112,7504.65,0.55372,0.31089,0.88123,0.99058,0.96923,0.99068,0.84756,0.68408,0.33925,0.91931,0.0001685,0.0001685,0.0001685
113,7566.4,0.55777,0.31579,0.87169,0.98765,0.96923,0.99151,0.85336,0.68875,0.3403,0.92159,0.000152,0.000152,0.000152
114,7623.37,0.54795,0.3116,0.87746,0.98437,0.96885,0.98905,0.84419,0.69452,0.35323,0.92119,0.0001355,0.0001355,0.0001355
115,7678.5,0.54853,0.30782,0.87274,0.98866,0.95897,0.98631,0.84543,0.69149,0.33527,0.922,0.000119,0.000119,0.000119
116,7737.12,0.5404,0.31093,0.87356,0.97935,0.97308,0.9877,0.85264,0.68062,0.33956,0.9171,0.0001025,0.0001025,0.0001025
117,7815.29,0.53909,0.30586,0.86203,0.97877,0.97436,0.98686,0.85539,0.67939,0.33362,0.91917,8.6e-05,8.6e-05,8.6e-05
118,7873.32,0.52889,0.30715,0.86712,0.97932,0.97148,0.9862,0.85715,0.68174,0.33346,0.91973,6.95e-05,6.95e-05,6.95e-05
119,7928.92,0.51378,0.30004,0.8655,0.97209,0.97436,0.98652,0.85866,0.6823,0.33371,0.91734,5.3e-05,5.3e-05,5.3e-05
120,7984.86,0.51816,0.29573,0.87492,0.97429,0.97179,0.98653,0.85587,0.68003,0.33295,0.91639,3.65e-05,3.65e-05,3.65e-05
